"","geo","year","values"
"1","al",2023,126.88
"2","at",2023,130.42
"3","be",2023,124.79
"4","bg",2023,133.45
"5","ch",2023,106.1
"6","cy",2023,114.41
"7","cz",2023,148.4
"8","de",2023,126.1
"9","dk",2023,116.7
"10",NA,2023,123.48
"11","ee",2023,151.3
"12","gr",2023,117.23
"13","es",2023,120.13
"14","fi",2023,118.96
"15","fr",2023,120.71
"16","hr",2023,127.91
"17","hu",2023,160.55
"18","ie",2023,118.4
"19","is",2023,122.93
"20","it",2023,121.8
"21","lt",2023,149.67
"22","lu",2023,121.81
"23","lv",2023,143.9
"24","me",2023,131.07
"25","mk",2023,137.89
"26","mt",2023,123.54
"27","nl",2023,127.78
"28","no",2023,132.7
"29","pl",2023,144.2
"30","pt",2023,119.79
"31","ro",2023,141.55
"32","rs",2023,145.2
"33","se",2023,127.17
"34","si",2023,126.43
"35","sk",2023,139.39
"36","tr",2023,518.27
"37","us",2023,126.15
"38",NA,2023,126.61
"39","al",2022,119.93
"40","at",2022,120.99
"41","be",2022,122.82
"42","bg",2022,124.16
"43","ch",2022,104.27
"44","cy",2022,111.34
"45","cz",2022,133.5
"46","de",2022,118.1
"47","dk",2022,114
"48",NA,2022,117.02
"49","ee",2022,138.79
"50","gr",2022,114.05
"51","es",2022,118.22
"52","fi",2022,114.31
"53","fr",2022,114.6
"54","hr",2022,118.14
"55","hu",2022,133.9
"56","ie",2022,113
"57","is",2022,113.82
"58","it",2022,114.1
"59","lt",2022,138.31
"60","lu",2022,120.65
"61","lv",2022,133.08
"62","me",2022,121.11
"63","mk",2022,126.25
"64","mt",2022,116.37
"65","nl",2022,120.13
"66","no",2022,124.3
"67","pl",2022,129.9
"68","pt",2022,114.37
"69","ro",2022,129.55
"70","rs",2022,127.9
"71","se",2022,119.61
"72","si",2022,118.61
"73","sk",2022,125.21
"74","tr",2022,374.67
"75","us",2022,124.45
"76",NA,2022,123.11
"77","al",2021,112.48
"78","at",2021,111.28
"79","be",2021,111.11
"80","bg",2021,108.2
"81","ch",2021,101
"82","cy",2021,102.17
"83","cz",2021,114.5
"84","de",2021,109.1
"85","dk",2021,104.5
"86",NA,2021,107.69
"87","ee",2021,113.76
"88","gr",2021,102.17
"89","es",2021,107.46
"90","fi",2021,105.75
"91","fr",2021,107.57
"92","hr",2021,105.4
"93","hu",2021,118.93
"94","ie",2021,103.1
"95","is",2021,108.03
"96","it",2021,105.2
"97","lt",2021,114.74
"98","lu",2021,109.35
"99","lv",2021,111.6
"100","me",2021,108.22
"101","mk",2021,110.27
"102","mt",2021,109.66
"103","nl",2021,109.27
"104","no",2021,116.2
"105","pl",2021,113.7
"106","pt",2021,104.91
"107","ro",2021,114.62
"108","rs",2021,114.6
"109","se",2021,109.87
"110","si",2021,107.03
"111","sk",2021,111.19
"112","tr",2021,209.82
"113","us",2021,113
"114",NA,2021,107.92
"115","al",2020,110.17
"116","at",2020,108.25
"117","be",2020,108.33
"118","bg",2020,105.69
"119","ch",2020,100.53
"120","cy",2020,99.97
"121","cz",2020,111.7
"122","de",2020,106.9
"123","dk",2020,102.6
"124",NA,2020,105.68
"125","ee",2020,109.67
"126","gr",2020,101.56
"127","es",2020,104.87
"128","fi",2020,103.77
"129","fr",2020,105.58
"130","hr",2020,103.14
"131","hu",2020,112.92
"132","ie",2020,101.5
"133","is",2020,103.84
"134","it",2020,103.8
"135","lt",2020,110.81
"136","lu",2020,105.72
"137","lv",2020,108.68
"138","me",2020,105.27
"139","mk",2020,107.76
"140","mt",2020,109.49
"141","nl",2020,107.45
"142","no",2020,112.8
"143","pl",2020,109.2
"144","pt",2020,105.5
"145","ro",2020,110.78
"146","rs",2020,111.1
"147","se",2020,107.93
"148","si",2020,105.21
"149","sk",2020,108.46
"150","tr",2020,178.54
"151","gb",2020,108.6
"152","us",2020,106.29
"153",NA,2020,105.43
"154","al",2019,107.76
