"","currency","year","values"
"1","ALL",2023,107.26
"2","AUD",2023,1.6157
"3","BAM",2023,1.95583
"4","BGN",2023,1.9558
"5","BRL",2023,5.2695
"6","CAD",2023,1.4414
"7","CHF",2023,0.9764
"8","CNY",2023,7.7653
"9","CZK",2023,23.695
"10","DKK",2023,7.4492
"11","GBP",2023,0.85861
"12","HKD",2023,8.4899
"13","HUF",2023,370.6
"14","IDR",2023,16194.88
"15","ILS",2023,3.9502
"16","INR",2023,89.1134
"17","ISK",2023,149.35
"18","JPY",2023,153.15
"19","KRW",2023,1406.43
"20","MKD",2023,61.5486
"21","MXN",2023,18.6993
"22","MYR",2023,5.0208
"23","NOK",2023,11.7164
"24","NZD",2023,1.7686
"25","PHP",2023,60.475
"26","PLN",2023,4.4608
"27","RON",2023,4.96
"28","RSD",2023,117.2731
"29","SEK",2023,11.6766
"30","SGD",2023,1.4596
"31","THB",2023,37.8519
"32","TRY",2023,25.7697
"33","USD",2023,1.084
"34","ZAR",2023,20.3033
"35","ALL",2022,119.8
"36","AUD",2022,1.5044
"37","BAM",2022,1.95583
"38","BGN",2022,1.9558
"39","BRL",2022,5.3209
"40","CAD",2022,1.3537
"41","CHF",2022,1.0245
"42","CNY",2022,7.0734
"43","CZK",2022,24.719
"44","DKK",2022,7.4392
"45","GBP",2022,0.85759
"46","HKD",2022,8.2922
"47","HUF",2022,396.66
"48","IDR",2022,15531.74
"49","ILS",2022,3.6038
"50","INR",2022,82.5112
"51","ISK",2022,138.47
"52","JPY",2022,141.57
"53","KRW",2022,1351.47
"54","MKD",2022,61.6951
"55","MXN",2022,21.124
"56","MYR",2022,4.6496
"57","NOK",2022,10.2971
"58","NZD",2022,1.664
"59","PHP",2022,56.756
"60","PLN",2022,4.6471
"61","RON",2022,4.9444
"62","RSD",2022,117.4297
"63","SEK",2022,10.6005
"64","SGD",2022,1.4624
"65","THB",2022,36.9277
"66","TRY",2022,17.9598
"67","USD",2022,1.0566
"68","ZAR",2022,16.6961
"69","ALL",2021,122.83
"70","AUD",2021,1.5761
"71","BAM",2021,1.95583
"72","BGN",2021,1.9558
"73","BRL",2021,6.0693
"74","CAD",2021,1.4713
"75","CHF",2021,1.094
"76","CNY",2021,7.7391
