"","geo","year","value","curr"
"1","al",2022,63.7262,"ALL"
"2","at",2022,1.12028,"EUR"
"3","be",2022,1.11317,"EUR"
"4","bg",2022,1.17107,"BGN"
"5","ch",2022,1.61722,"CHF"
"6","cy",2022,0.914689,"EUR"
"7","cz",2022,19.8704,"CZK"
"8","de",2022,1.11967,"EUR"
"9","dk",2022,9.8463,"DKK"
"10","ee",2022,0.885769,"EUR"
"11","gr",2022,0.821692,"EUR"
"12","es",2022,0.935044,"EUR"
"13","fi",2022,1.24992,"EUR"
"14","fr",2022,1.07768,"EUR"
"15","hr",2022,0.665726,"EUR"
"16","hu",2022,252.369,"HUF"
"17","ie",2022,1.19686,"EUR"
"18","is",2022,219.479,"ISK"
"19","it",2022,0.961488,"EUR"
"20","jp",2022,150.004,"JPY"
"21","lt",2022,0.748911,"EUR"
"22","lu",2022,1.29784,"EUR"
"23","lv",2022,0.798391,"EUR"
"24","mk",2022,29.4528,"MKD"
"25","mt",2022,0.885978,"EUR"
"26","nl",2022,1.17471,"EUR"
"27","no",2022,13.6548,"NOK"
"28","pl",2022,2.90185,"PLN"
"29","pt",2022,0.854938,"EUR"
"30","ro",2022,2.73464,"RON"
"31","rs",2022,67.4394,"RSD"
"32","se",2022,13.4532,"SEK"
"33","si",2022,0.859558,"EUR"
"34","sk",2022,0.828493,"EUR"
"35","tr",2022,7.25261,"TRY"
"36","gb",2022,1.04734,"GBP"
"37","us",2022,1.53736,"USD"
"38","al",2021,64.1178,"ALL"
"39","at",2021,1.14096,"EUR"
"40","be",2021,1.11136,"EUR"
"41","bg",2021,1.0846,"BGN"
"42","ch",2021,1.66915,"CHF"
"43","cy",2021,0.906311,"EUR"
"44","cz",2021,19.2239,"CZK"
"45","de",2021,1.11074,"EUR"
"46","dk",2021,9.94131,"DKK"
"47","ee",2021,0.819799,"EUR"
"48","gr",2021,0.823004,"EUR"
"49","es",2021,0.9443,"EUR"
"50","fi",2021,1.24714,"EUR"
"51","fr",2021,1.08417,"EUR"
"52","hr",2021,0.651963,"EUR"
"53","hu",2021,233.451,"HUF"
"54","ie",2021,1.19892,"EUR"
"55","is",2021,225.805,"ISK"
"56","it",2021,0.976872,"EUR"
"57","jp",2021,153.952,"JPY"
"58","lt",2021,0.690586,"EUR"
"59","lu",2021,1.29567,"EUR"
"60","lv",2021,0.767819,"EUR"
"61","mk",2021,28.6888,"MKD"
"62","mt",2021,0.87335,"EUR"
"63","nl",2021,1.16156,"EUR"
"64","no",2021,14.3499,"NOK"
"65","pl",2021,2.74992,"PLN"
"66","pt",2021,0.856363,"EUR"
"67","ro",2021,2.58255,"RON"
"68","rs",2021,63.936,"RSD"
"69","se",2021,13.1572,"SEK"
"70","si",2021,0.849618,"EUR"
"71","sk",2021,0.804669,"EUR"
"72","tr",2021,4.23594,"TRY"
"73","gb",2021,1.0208,"GBP"
"74","us",2021,1.50859,"USD"
"75","al",2020,63.0122,"ALL"
"76","at",2020,1.13929,"EUR"
"77","be",2020,1.11482,"EUR"
"78","bg",2020,1.0492,"BGN"
"79","ch",2020,1.73368,"CHF"
"80","cy",2020,0.904523,"EUR"
"81","cz",2020,19.0226,"CZK"
"82","de",2020,1.10676,"EUR"
"83","dk",2020,10.0007,"DKK"
"84","ee",2020,0.799544,"EUR"
"85","gr",2020,0.830557,"EUR"
"86","es",2020,0.948512,"EUR"
"87","fi",2020,1.2564,"EUR"
"88","fr",2020,1.08441,"EUR"
"89","hr",2020,0.640867,"EUR"
"90","hu",2020,221.888,"HUF"
"91","ie",2020,1.21527,"EUR"
"92","is",2020,223.899,"ISK"
"93","it",2020,0.98877,"EUR"
"94","jp",2020,156.363,"JPY"
"95","lt",2020,0.67743,"EUR"
"96","lu",2020,1.30712,"EUR"
"97","lv",2020,0.736984,"EUR"
"98","mk",2020,28.4547,"MKD"
"99","mt",2020,0.868596,"EUR"
"100","nl",2020,1.16538,"EUR"
"101","no",2020,15.0823,"NOK"
"102","pl",2020,2.66626,"PLN"
"103","pt",2020,0.850431,"EUR"
"104","ro",2020,2.53572,"RON"
"105","rs",2020,62.2759,"RSD"
"106","se",2020,13.233,"SEK"
"107","si",2020,0.835336,"EUR"
"108","sk",2020,0.793726,"EUR"
"109","tr",2020,3.30379,"TRY"
"110","gb",2020,1.04656,"GBP"
"111","us",2020,1.52657,"USD"
"112","al",2019,62.3598,"ALL"
"113","at",2019,1.13543,"EUR"
"114","be",2019,1.13159,"EUR"
"115","bg",2019,1.03928,"BGN"
"116","ch",2019,1.74361,"CHF"
"117","cy",2019,0.904397,"EUR"
"118","cz",2019,18.6038,"CZK"
"119","de",2019,1.10377,"EUR"
"120","dk",2019,10.055,"DKK"
"121","ee",2019,0.813038,"EUR"
"122","gr",2019,0.831925,"EUR"
"123","es",2019,0.929052,"EUR"
"124","fi",2019,1.27075,"EUR"
"125","fr",2019,1.08564,"EUR"
"126","hr",2019,0.64661,"EUR"
"127","hu",2019,213.447,"HUF"
"128","ie",2019,1.22126,"EUR"
"129","is",2019,213.248,"ISK"
"130","it",2019,0.995437,"EUR"
"131","jp",2019,157.97,"JPY"
"132","lt",2019,0.664059,"EUR"
"133","lu",2019,1.27552,"EUR"
"134","lv",2019,0.737855,"EUR"
"135","mk",2019,28.0747,"MKD"
"136","mt",2019,0.866627,"EUR"
"137","nl",2019,1.18002,"EUR"
"138","no",2019,14.5804,"NOK"
"139","pl",2019,2.6121,"PLN"
"140","pt",2019,0.846865,"EUR"
"141","ro",2019,2.5171,"RON"
"142","rs",2019,60.9744,"RSD"
"143","se",2019,13.2008,"SEK"
"144","si",2019,0.836876,"EUR"
"145","sk",2019,0.784397,"EUR"
"146","tr",2019,2.82519,"TRY"
"147","gb",2019,1.02983,"GBP"
"148","us",2019,1.51565,"USD"
"149","al",2018,62.3868,"ALL"
"150","at",2018,1.12879,"EUR"
"151","be",2018,1.13027,"EUR"
"152","bg",2018,1.00299,"BGN"
"153","ch",2018,1.73855,"CHF"
"154","cy",2018,0.903208,"EUR"
"155","cz",2018,18.2451,"CZK"
"156","de",2018,1.08461,"EUR"
"157","dk",2018,9.97826,"DKK"
"158","ee",2018,0.79454,"EUR"
"159","gr",2018,0.833032,"EUR"
"160","es",2018,0.931754,"EUR"
"161","fi",2018,1.25908,"EUR"
"162","fr",2018,1.11517,"EUR"
"163","hr",2018,0.648088,"EUR"
"164","hu",2018,205.129,"HUF"
"165","ie",2018,1.16833,"EUR"
"166","is",2018,207.898,"ISK"
"167","it",2018,1.00464,"EUR"
"168","jp",2018,153.61,"JPY"
"169","lt",2018,0.65866,"EUR"
"170","lu",2018,1.25188,"EUR"
"171","lv",2018,0.722533,"EUR"
"172","mk",2018,27.9484,"MKD"
"173","mt",2018,0.865274,"EUR"
"174","nl",2018,1.14552,"EUR"
"175","no",2018,14.1342,"NOK"
"176","pl",2018,2.57852,"PLN"
"177","pt",2018,0.842426,"EUR"
"178","ro",2018,2.45635,"RON"
"179","rs",2018,60.4716,"RSD"
"180","se",2018,13.0751,"SEK"
"181","si",2018,0.837094,"EUR"
"182","sk",2018,0.775728,"EUR"
"183","tr",2018,2.40772,"TRY"
"184","gb",2018,1.01422,"GBP"
"185","us",2018,1.47477,"USD"
"186","al",2017,61.524,"ALL"
"187","at",2017,1.12841,"EUR"
"188","be",2017,1.12932,"EUR"
"189","bg",2017,0.984663,"BGN"
"190","ch",2017,1.72933,"CHF"
"191","cy",2017,0.895707,"EUR"
"192","cz",2017,18.0908,"CZK"
"193","de",2017,1.0844,"EUR"
"194","dk",2017,10.0052,"DKK"
"195","ee",2017,0.778826,"EUR"
"196","gr",2017,0.83726,"EUR"
"197","es",2017,0.918502,"EUR"
"198","fi",2017,1.25748,"EUR"
"199","fr",2017,1.12128,"EUR"
"200","hr",2017,0.642472,"EUR"
"201","hu",2017,198.069,"HUF"
"202","ie",2017,1.15665,"EUR"
"203","is",2017,201.332,"ISK"
"204","it",2017,1.00449,"EUR"
"205","jp",2017,153.028,"JPY"
"206","lt",2017,0.644599,"EUR"
"207","lu",2017,1.23514,"EUR"
"208","lv",2017,0.705485,"EUR"
"209","mk",2017,27.6205,"MKD"
"210","mt",2017,0.853833,"EUR"
"211","nl",2017,1.13881,"EUR"
"212","no",2017,14.1958,"NOK"
"213","pl",2017,2.53763,"PLN"
"214","pt",2017,0.838202,"EUR"
"215","ro",2017,2.34936,"RON"
"216","rs",2017,59.4352,"RSD"
"217","se",2017,12.8889,"SEK"
"218","si",2017,0.830138,"EUR"
"219","sk",2017,0.751927,"EUR"
"220","tr",2017,2.01508,"TRY"
"221","gb",2017,0.996779,"GBP"
"222","us",2017,1.456,"USD"
"223","al",2016,61.0238,"ALL"
"224","at",2016,1.11857,"EUR"
"225","be",2016,1.12444,"EUR"
"226","bg",2016,0.959813,"BGN"
"227","ch",2016,1.7305,"CHF"
"228","cy",2016,0.89598,"EUR"
"229","cz",2016,18.1065,"CZK"
"230","de",2016,1.08355,"EUR"
"231","dk",2016,10.193,"DKK"
"232","ee",2016,0.759956,"EUR"
"233","gr",2016,0.847392,"EUR"
"234","es",2016,0.92523,"EUR"
"235","fi",2016,1.26824,"EUR"
"236","fr",2016,1.12305,"EUR"
"237","hr",2016,0.646249,"EUR"
"238","hu",2016,190.092,"HUF"
